20,10,1
120,10,1
220,10,1
320,10,1
420,10,1
520,10,1
620,10,1
720,10,1
820,10,1
915,60,1
820,60,1
720,60,1
620,60,1
520,60,1
420,60,1
320,60,1
220,60,1
120,60,1
20,60,1
20,110,1
120,110,1
220,110,1
320,110,1
420,110,1
520,110,1
620,110,1
720,110,1
820,110,1
915,110,1
915,10,1
915,160,1
820,160,1
720,160,1
620,160,1
520,160,1
420,160,1
320,160,1
220,160,1
120,160,1
20,160,1
20,210,1
120,210,1
220,210,1
320,210,1
420,210,1
520,210,1
620,210,1
720,210,1
820,210,1
915,210,1
570,260,3
645,260,3
720,260,3
800,260,3
880,260,3
360,260,3
280,260,3
205,260,3
130,260,3
50,260,3
