0,300,3
75,300,3
155,300,3
235,300,3
315,300,3
395,300,3
470,300,3
550,300,3
630,300,3
705,300,3
785,300,3
865,300,3
940,300,3
920,280,3
840,280,3
760,280,3
685,280,3
610,280,3
535,280,3
455,280,3
375,280,3
295,280,3
215,280,3
140,280,3
60,280,3
-15,280,3
335,40,1
335,60,1
335,80,1
530,80,1
530,60,1
530,45,1
530,140,1
455,140,1
375,140,1
295,140,1
420,160,1
420,180,1
505,200,1
610,140,1
610,160,1
610,180,1
610,200,1
425,200,1
530,200,1
420,200,1
500,175,1
500,185,1
530,185,1
530,170,1
530,160,1
495,160,1
